ID;Name;Politic group;Member from
6254;Vèra Adámková;Political group ANO 2011;24.10.2017
6150;Andrej Babiš;Political group ANO 2011;24.10.2017
6428;Andrea Babišová;Political group ANO 2011;24.10.2017
6177;Margita Balaštíková;Political group ANO 2011;24.10.2017
6437;Josef Bèlica;Political group ANO 2011;24.10.2017
6143;Stanislav Berkovec;Political group ANO 2011;24.10.2017
6439;Jiří Bláha;Political group ANO 2011;24.10.2017
6184;Richard Brabec;Political group ANO 2011;24.10.2017
6185;Milan Brázdil;Political group ANO 2011;24.10.2017
6434;Andrea Brzobohatá;Political group ANO 2011;24.10.2017
6441;Jaroslav Bžoch;Political group ANO 2011;24.10.2017
6430;Klára Dostálová;Political group ANO 2011;24.10.2017
6431;Lenka Dražilová;Political group ANO 2011;24.10.2017
6190;Jaroslav Faltýnek;Political group ANO 2011;24.10.2017
6447;Kamal Farhan;Political group ANO 2011;24.10.2017
6448;Milan Feranec;Political group ANO 2011;24.10.2017
6457;Eva Fialová;Political group ANO 2011;24.10.2017
6451;Stanislav Fridrich;Political group ANO 2011;24.10.2017
6139;Josef Hájek;Political group ANO 2011;24.10.2017
6303;Jiří Hlavatý;Political group ANO 2011;24.11.2017
6453;Milan Hnilička;Political group ANO 2011;24.10.2017
6458;Ivan Jáč;Political group ANO 2011;24.10.2017
6201;Miloslav Janulík;Political group ANO 2011;24.10.2017
6463;Aleš Juchelka;Political group ANO 2011;24.10.2017
6496;Pavel Juříček;Political group ANO 2011;24.10.2017
6497;Adam Kalous;Political group ANO 2011;24.10.2017
6209;David Kasal;Political group ANO 2011;24.10.2017
6506;Tomáš Kohoutek;Political group ANO 2011;24.10.2017
6211;Martin Kolovratník;Political group ANO 2011;24.10.2017
6464;Barbora Kořanová;Political group ANO 2011;24.10.2017
6246;Josef Kott;Political group ANO 2011;24.10.2017
6509;Robert Králíček;Political group ANO 2011;24.10.2017
6215;Roman Kubíček;Political group ANO 2011;24.10.2017
6511;Jan Kubík;Political group ANO 2011;24.10.2017
6512;Jaroslav Kytýr;Political group ANO 2011;24.10.2017
6468;Taána Malá;Political group ANO 2011;24.10.2017
6536;Přemysl Mališ;Political group ANO 2011;24.10.2017
6534;Jiří Mašek;Political group ANO 2011;24.10.2017
6221;Radka Maxová;Political group ANO 2011;2.7.2019
6476;Marcela Melková;Political group ANO 2011;24.10.2017
6471;Jana Mračková Vildumetzová;Political group ANO 2011;24.10.2017
6487;Patrik Nacher;Political group ANO 2011;24.10.2017
6533;Marek Novák;Political group ANO 2011;24.10.2017
6475;Monika Oborná;Political group ANO 2011;24.10.2017
6172;Ladislav Okleštèk;Political group ANO 2011;24.10.2017
6474;Zuzana Ožanová;Political group ANO 2011;24.10.2017
6225;Jana Pastuchová;Political group ANO 2011;24.10.2017
6318;Robert Pelikán;Political group ANO 2011;19.6.2018
6409;František Petrtýl;Political group ANO 2011;24.10.2017
6171;Pavel Plzák;Political group ANO 2011;24.10.2017
6202;Jaroslava Pokorná Jermanová;Political group ANO 2011;24.11.2017
6527;David Pražák;Political group ANO 2011;24.10.2017
6472;Vèra Procházková;Political group ANO 2011;24.10.2017
6525;Pavel Pustèjovský;Political group ANO 2011;24.10.2017
6158;Karel Rais;Political group ANO 2011;24.10.2017
6523;Michal Ratiborský;Political group ANO 2011;24.10.2017
6500;Jan Richter;Political group ANO 2011;24.10.2017
6379;Miloslava Rutová;Political group ANO 2011;24.10.2017
6520;Pavel Rùžička;Political group ANO 2011;24.10.2017
6519;Jan Řehounek;Political group ANO 2011;24.10.2017
6518;Petr Sadovský;Political group ANO 2011;24.10.2017
6517;Jan Schiller;Political group ANO 2011;24.10.2017
6501;Pavel Stanèk;Political group ANO 2011;24.10.2017
443&;Martin Stropnický;Political group ANO 2011;1.10.2018
6515;Jiří Strýček;Political group ANO 2011;24.10.2017
6287;Karla Šlechtová;Political group ANO 2011;24.10.2017
6505;Julius Špičák;Political group ANO 2011;24.10.2017
6484;David Štolpa;Political group ANO 2011;24.10.2017
6291;Dan ok;Political group ANO 2011;15.4.2019
6240;Karel Tureček;Political group ANO 2011;24.10.2017
6168;Helena Válková;Political group ANO 2011;24.10.2017
6491;Adam Vojtèch;Political group ANO 2011;24.10.2017
6166;Jan Volný;Political group ANO 2011;24.10.2017
6165;Radek Vondráček;ANO 2011;26.10.2013
6492;Ivo Vondrák;Political group ANO 2011;24.10.2017
6490;Petr Vrána;Political group ANO 2011;31.7.2020
6161;Rostislav Vyzula;Political group ANO 2011;24.10.2017
6480;Radek Zlesák;Political group ANO 2011;24.10.2017
5700;Ivan Adamec;Political group Civic Democratic Party;24.10.2017
5379;Jan Bauer;Political group Civic Democratic Party;24.10.2017
6435;Martin Baxa;Political group Civic Democratic Party;24.10.2017
6436;Petr Beitl;Political group Civic Democratic Party;24.10.2017
4&o=;Marek Benda;Political group Civic Democratic Party;24.10.2017
6438;Stanislav Blaha;Political group Civic Democratic Party;24.10.2017
6079;Pavel Blažek;Political group Civic Democratic Party;24.10.2017
5903;Jana Èernochová;Political group Civic Democratic Party;24.10.2017
6074;Petr Fiala;Political group Civic Democratic Party;24.10.2017
6459;Jakub Janda;Political group Civic Democratic Party;24.10.2017
6498;Václav Klaus;Nezarazeni;17.3.2019
6498;Václav Klaus;Political group Civic Democratic Party;17.3.2019
6510;Karel Krejza;Political group Civic Democratic Party;24.10.2017
6538;Martin Kupka;Political group Civic Democratic Party;20.11.2017
6467;Zuzana Majerová Zahradníková;Nezarazeni;23.4.2019
6467;Zuzana Majerová Zahradníková;Political group Civic Democratic Party;23.4.2019
5945;Jaroslav Martinù;Political group Civic Democratic Party;24.10.2017
6470;Ilona Mauritzová;Political group Civic Democratic Party;24.10.2017
6486;Vojtèch Munzar;Political group Civic Democratic Party;24.10.2017
401&;Miroslava Nèmcová;Political group Civic Democratic Party;10.10.2020
6418;Jan Skopeček;Political group Civic Democratic Party;24.10.2017
5969;Zbynèk Stanjura;Political group Civic Democratic Party;24.10.2017
6007;Bohuslav Svoboda;Political group Civic Democratic Party;24.10.2017
6493;Jiří Ventruba;Political group Civic Democratic Party;24.10.2017
6052;Veronika Vrecionová;Political group Civic Democratic Party;2.7.2019
5844;Jan Zahradník;Political group Civic Democratic Party;24.10.2017
5226;Pavel Žáček;Political group Civic Democratic Party;24.10.2017
6429;Dana Balcarová;Political group Czech Pirate Party;22.10.2017
6432;Lukáš Bartoò;Political group Czech Pirate Party;22.10.2017
6433;Ivan Bartoš;Political group Czech Pirate Party;22.10.2017
6442;Lukáš Èernohorský;Political group Czech Pirate Party;22.10.2017
6446;František Elfmark;Political group Czech Pirate Party;22.10.2017
6450;Mikuláš Ferjenčík;Political group Czech Pirate Party;22.10.2017
6454;Radek Holomčík;Political group Czech Pirate Party;22.10.2017
6462;Martin Jiránek;Political group Czech Pirate Party;22.10.2017
6507;Lukáš Kolářík;Political group Czech Pirate Party;22.10.2017
6499;František Kopřiva;Political group Czech Pirate Party;22.10.2017
6465;Lenka Kozlová;Political group Czech Pirate Party;22.10.2017
6537;Jan Lipavský;Political group Czech Pirate Party;22.10.2017
6535;Tomáš Martínek;Political group Czech Pirate Party;22.10.2017
6477;Jakub Michálek;Political group Czech Pirate Party;22.10.2017
6488;Mikuláš Peksa;Political group Czech Pirate Party;6.6.2019
6531;Vojtèch Pikal;Political group Czech Pirate Party;22.10.2017
6529;Ondřej Polanský;Political group Czech Pirate Party;22.10.2017
6528;Jan Pošvář;Political group Czech Pirate Party;22.10.2017
6526;Ondřej Profant;Political group Czech Pirate Party;22.10.2017
6473;Olga Richterová;Political group Czech Pirate Party;22.10.2017
6483;Petr Třešòák;Political group Czech Pirate Party;22.10.2017
6489;Tomáš Vymazal;Political group Czech Pirate Party;22.10.2017
6440;Marian Bojko;Nezarazeni;19.3.2019
6440;Marian Bojko;Political group Freedom and Direct Democracy;19.3.2019
6445;Jaroslav Dvořák;Political group Freedom and Direct Democracy;26.10.2017
5459;Radim Fiala;Political group Freedom and Direct Democracy;26.10.2017
6198;Jaroslav Holík;Political group Freedom and Direct Democracy;26.10.2017
6455;Jan Hrnčíř;Political group Freedom and Direct Democracy;26.10.2017
6456;Tereza Hyhová;Nezarazeni;27.7.2020
6456;Tereza Hyhová;Political group Freedom and Direct Democracy;27.7.2020
6460;Monika Jarošová;Political group Freedom and Direct Democracy;26.10.2017
6461;Pavel Jelínek;Political group Freedom and Direct Democracy;26.10.2017
6503;Jiří Kobza;Political group Freedom and Direct Democracy;26.10.2017
6504;Jiří Kohoutek;Political group Freedom and Direct Democracy;26.10.2017
6508;Radek Koten;Political group Freedom and Direct Democracy;26.10.2017
6502;Jana Levová;Political group Freedom and Direct Democracy;26.10.2017
6469;Karla Maříková;Political group Freedom and Direct Democracy;26.10.2017
6478;Ivana Nevludová;Nezarazeni;19.3.2019
6478;Ivana Nevludová;Political group Freedom and Direct Democracy;19.3.2019
6105;Tomio Okamura;Political group Freedom and Direct Democracy;26.10.2017
6530;Zdenèk Podal;Political group Freedom and Direct Democracy;26.10.2017
6522;Miloslav Rozner;Political group Freedom and Direct Democracy;26.10.2017
6521;Radek Rozvoral;Political group Freedom and Direct Democracy;26.10.2017
6479;Lucie Šafránková;Political group Freedom and Direct Democracy;26.10.2017
6514;Lubomír Španèl;Political group Freedom and Direct Democracy;26.10.2017
6495;Radovan Vích;Political group Freedom and Direct Democracy;26.10.2017
6481;Lubomír Volný;Nezarazeni;19.3.2019
6481;Lubomír Volný;Political group Freedom and Direct Democracy;19.3.2019
6002;Jiří Bèhounek;Political group Czech Social Democratic Party;27.10.2017
6182;Jan Birke;Political group Czech Social Democratic Party;27.10.2017
6444;Petr Dolínek;Political group Czech Social Democratic Party;27.10.2017
5911;Jaroslav Foldyna;Nezarazeni;25.2.2020
5911;Jaroslav Foldyna;Political group Czech Social Democratic Party;7.4.2020
5911;Jaroslav Foldyna;Political group Freedom and Direct Democracy;7.4.2020
5703;Alena Gajdùšková;Political group Czech Social Democratic Party;27.10.2017
5462;Jan Hamáček;Political group Czech Social Democratic Party;27.10.2017
6452;Tomáš Hanzel;Political group Czech Social Democratic Party;27.10.2017
6200;Milan Chovanec;Political group Czech Social Democratic Party;14.4.2019
5926;Jan Chvojka;Political group Czech Social Democratic Party;27.10.2017
6532;Roman Onderka;Political group Czech Social Democratic Party;27.10.2017
237&;Bohuslav Sobotka;Political group Czech Social Democratic Party;31.3.2018
6516;Antonín Stanèk;Political group Czech Social Democratic Party;27.10.2017
6337;Kateřina Valachová;Political group Czech Social Democratic Party;27.10.2017
6494;Ondřej Veselý;Political group Czech Social Democratic Party;27.10.2017
252&;Lubomír Zaorálek;Political group Czech Social Democratic Party;27.10.2017
6149;Hana Aulická Jírovcová;Political group Communist Party of Bohemia and Moravia;24.10.2017
5307;Alexander Èerný;Political group Communist Party of Bohemia and Moravia;24.10.2017
5261;Jiří Dolejš;Political group Communist Party of Bohemia and Moravia;24.10.2017
303&;Vojtèch Filip;Political group Communist Party of Bohemia and Moravia;24.10.2017
305&;Miroslav Grebeníček;Political group Communist Party of Bohemia and Moravia;24.10.2017
4778;Stanislav Grospič;Political group Communist Party of Bohemia and Moravia;24.10.2017
5313;Vladimír Koníček;Political group Communist Party of Bohemia and Moravia;4.12.2018
309&;Pavel Kováčik;Political group Communist Party of Bohemia and Moravia;24.10.2017
6279;Leo Luzar;Political group Communist Party of Bohemia and Moravia;24.10.2017
5938;Kvèta Matušovská;Political group Communist Party of Bohemia and Moravia;24.10.2017
6224;Zdenèk Ondráček;Political group Communist Party of Bohemia and Moravia;24.10.2017
6485;Daniel Pawlas;Political group Communist Party of Bohemia and Moravia;24.10.2017
6233;Ivo Pojezný;Political group Communist Party of Bohemia and Moravia;24.10.2017
6169;Jiří Valenta;Political group Communist Party of Bohemia and Moravia;24.10.2017
5268;Miloslava Vostrá;Political group Communist Party of Bohemia and Moravia;24.10.2017
6178;Jan Bartošek;Political group Christian and Democratic Union - Czechoslovak People's Party;24.10.2017
6138;Pavel Bèlobrádek;Political group Christian and Democratic Union - Czechoslovak People's Party;24.10.2017
6179;Ondřej Benešík;Political group Christian and Democratic Union - Czechoslovak People's Party;24.10.2017
6443;Jan Èižinský;Political group Christian and Democratic Union - Czechoslovak People's Party;24.10.2017
6292;Pavla Golasowská;Political group Christian and Democratic Union - Czechoslovak People's Party;24.10.2017
5847;Stanislav Juránek;Political group Christian and Democratic Union - Czechoslovak People's Party;24.10.2017
6205;Marian Jurečka;Political group Christian and Democratic Union - Czechoslovak People's Party;24.10.2017
6207;Vít Kaòkovský;Political group Christian and Democratic Union - Czechoslovak People's Party;24.10.2017
6222;Jiří Mihola;Political group Christian and Democratic Union - Czechoslovak People's Party;24.10.2017
6513;Marek Výborný;Political group Christian and Democratic Union - Czechoslovak People's Party;24.10.2017
6449;Dominik Feri;Political group TOP 09;31.10.2017
377&;Miroslav Kalousek;Political group TOP 09;31.10.2017
5943;Helena Langšádlová;Political group TOP 09;31.10.2017
6147;Markéta Pekarová Adamová;Political group TOP 09;31.10.2017
5558;Karel Schwarzenberg;Political group TOP 09;31.10.2017
6137;František Vácha;Political group TOP 09;31.10.2017
6482;Vlastimil Válek;Political group TOP 09;31.10.2017
5909;Jan Farský;Political group Mayors and Independents;23.10.2017
5914;Petr Gazdík;Political group Mayors and Independents;23.10.2017
6214;Vèra Kovářová;Political group Mayors and Independents;23.10.2017
6466;Jana Krutáková;Political group Mayors and Independents;23.10.2017
6417;Martin Pùta;Political group Mayors and Independents;24.11.2017
6524;Vít Rakušan;Political group Mayors and Independents;23.10.2017
